2024年度秋セメスター　時間割 (2017カリキュラムAPS生対象科目),,,,,,,,,,,,,,
AY2024 Fall Semester Timetable (For 2017 APS Curriculum students),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"-Online講義は、D列に「〇」が記載されています。講義名の先頭に開講形態(Online)が記載されています。何も記載がない場合には原則対面講義となります。
-「配当セメ」の数字はその科目を受講することができるセメスターを示しています。（例）「3」と記載されている場合には、3セメスター生以上の学生が履修することができます。
-各科目の履修要件（単位数・前提科目・履修制限・単位集計分野、登録可能な期間等）については、科目一覧表をご確認ください（アカデミック・オフィスHP＞第8～10章＞カリキュラム図・科目一覧）。

-For Online Lectures, ""〇"" is marked in column D. Forms of class implementation (Online) are included as part of the 'Subject Name' . If there is no specification, it means that the class is offered on-campus.
Semester,水/Wed.,1,,,F103,030022EB,ジェンダー研究EB,Gender StudiesEB,ASKEW David J.,ASKEW David J.,E,5,専門/Major,APS専門教育科目APS Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects (*4)
Semester,水/Wed.,1,,,F201,033011EB,ビジネス法務戦略EB,Legal Strategy in BusinessEB,ANDREW T.GRIFFIN,ANDREW T.GRIFFIN,E,3,他学部/Other College,他学部科目Other College Subjects
Semester,水/Wed.,1,,,J304,03715533,卒業研究I 33,Graduation Research I33,吉田 香織,YOSHIDA Kaori,E/J,7,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,水/Wed.,1,,,J303,03715540,卒業研究I 40,Graduation Research I40,井口 由布,IGUCHI Yufu,E/J,7,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,水/Wed.,1,,,J304,03715633,卒業研究Ⅱ 33,Graduation Research II 33,吉田 香織,YOSHIDA Kaori,E/J,7,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,水/Wed.,1,,,IPS 5,03715637,卒業研究Ⅱ 37,Graduation Research II 37,淵ノ上 英樹,FUCHINOUE Hideki,E/J,7,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,水/Wed.,1,,,J303,03715640,卒業研究Ⅱ 40,Graduation Research II 40,井口 由布,IGUCHI Yufu,E/J,7,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,水/Wed.,1,,,J301,03715668,卒業研究Ⅱ 68,Graduation Research II 68,山形 辰史,YAMAGATA Tatsufumi,E/J,7,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
1Q,水/Wed.,1,,,F106,020022EB,政治学入門EB,Introduction to Political ScienceEB,KENNIS ANKE,KENNIS ANKE,E,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
1Q,水/Wed.,1,,,F202,037146JA,エスニシティと国民国家JA,Ethnicity and the Nation StateJA,古屋 哲,FURUYA SATORU,J,5,専門/Major,APS専門教育科目APS Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects (*3)orCSM専門教育科目(*4)CSM Major Education Subjects (*4)
2Q,水/Wed.,1,,,F106,037139JA,遺産観光論JA,Heritage TourismJA,須藤 廣,SUDO Hiroshi,J,3,専門/Major,APS専門教育科目APS Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects (*2)
Semester,水/Wed.,2,,,FⅡ120,02701305,多文化協働ワークショップ05,Multicultural Cooperative Workshop05,三好 登,MIYOSHI Noboru,E/J,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,水/Wed.,2,,,FⅡ220,02701306,多文化協働ワークショップ06,Multicultural Cooperative Workshop06,金井 秀介,KANAI Shusuke,E/J,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,水/Wed.,2,,,H101,02701307,多文化協働ワークショップ07,Multicultural Cooperative Workshop07,胡 飛瑜,HU Feiyu,E/J,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,水/Wed.,2,,,F101,02701308,多文化協働ワークショップ08,Multicultural Cooperative Workshop08,筆内 美砂,FUDEUCHI MISA,E/J,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,水/Wed.,2,,,FⅡ121,02701313,多文化協働ワークショップ13,Multicultural Cooperative Workshop13,カッティング 美紀,CUTTING Miki,E/J,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,水/Wed.,2,,,FⅡ221,02701314,多文化協働ワークショップ14,Multicultural Cooperative Workshop14,PORTO Massimiliano,PORTO Massimiliano,E/J,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,水/Wed.,2,,,H102,02701315,多文化協働ワークショップ15,Multicultural Cooperative Workshop15,COUSINS Elicia,COUSINS Elicia Mayuri,E/J,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,水/Wed.,2,,,F102,02701316,多文化協働ワークショップ16,Multicultural Cooperative Workshop16,BOUKAMBA Kimo H.,BOUKAMBA Kimo Hermann,E/J,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,水/Wed.,2,,,J102,030564JI,基礎数学JI,Fundamental MathematicsJI,徳丸 一彦,TOKUMARU Kazuhiko,J,3,他学部/Other College,他学部科目Other College Subjects
Semester,水/Wed.,2,,,IPS 5,03207037,専門演習Ⅱ 37,Major Seminar II 37,淵ノ上 英樹,FUCHINOUE Hideki,E/J,5-6,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,水/Wed.,2,,,F201,033011EC,ビジネス法務戦略EC,Legal Strategy in BusinessEC,ANDREW T.GRIFFIN,ANDREW T.GRIFFIN,E,3,他学部/Other College,他学部科目Other College Subjects
Semester,水/Wed.,2,,,F103,037123EB,文化・社会・メディア　特殊講義EB,"Special Lecture in Culture, Society and MediaEB",ASKEW David J.,ASKEW David J.,E,5,専門/Major,APS専門教育科目APS Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects (*4)
1Q,水/Wed.,2,,,F106,020022EB,政治学入門EB,Introduction to Political ScienceEB,KENNIS ANKE,KENNIS ANKE,E,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
1Q,水/Wed.,2,,,F202,037146JA,エスニシティと国民国家JA,Ethnicity and the Nation StateJA,古屋 哲,FURUYA SATORU,J,5,専門/Major,APS専門教育科目APS Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects (*3)orCSM専門教育科目(*4)CSM Major Education Subjects (*4)
2Q,水/Wed.,2,,,F106,037139JA,遺産観光論JA,Heritage TourismJA,須藤 廣,SUDO Hiroshi,J,3,専門/Major,APS専門教育科目APS Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects (*2)
Semester,水/Wed.,3,,,J101,027012EG,スタディスキル・アカデミックライティングEG,Study Skills and Academic WritingEG,ROUX Petrus Willem,ROUX Petrus Willem,E,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,水/Wed.,3,,,J105,027012EI,スタディスキル・アカデミックライティングEI,Study Skills and Academic WritingEI,鶴原 利泰,TSURUHARA Toshiyasu,E,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,水/Wed.,3,,,J202,027012EO,スタディスキル・アカデミックライティングEO,Study Skills and Academic WritingEO,GAYDOS MatthewJoseph,GAYDOS Matthew Joseph,E,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,水/Wed.,3,,,J102,027012JT,スタディスキル・アカデミックライティングJT,Study Skills and Academic WritingJT,筒井 久美子,TSUTSUI Kumiko,J,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,水/Wed.,3,,,F202,030035JA,社会階層論JA,Social StratificationJA,桂 悠介,KATSURA YUSUKE,J,3,専門/Major,APS専門教育科目APS Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects (*4)
Semester,水/Wed.,3,,,F106,030630EB,生産管理論EB,Production ManagementEB,本橋 伊作,MOTOHASHI Isaku,E,3,他学部/Other College,他学部科目Other College Subjects
1Q,水/Wed.,3,,,J203,037142JB,観光学　特殊講義JB,Special Lecture in Tourism and HospitalityJB,久保 隆行 / 楢本 譲司,KUBO Takayuki / NARAMOTO Joji,J,5,専門/Major,APS専門教育科目APS Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects (*2)
Semester,水/Wed.,4,,,J101,027012EH,スタディスキル・アカデミックライティングEH,Study Skills and Academic WritingEH,ROUX Petrus Willem,ROUX Petrus Willem,E,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,水/Wed.,4,,,J105,027012EJ,スタディスキル・アカデミックライティングEJ,Study Skills and Academic WritingEJ,鶴原 利泰,TSURUHARA Toshiyasu,E,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,水/Wed.,4,,,J202,027012EP,スタディスキル・アカデミックライティングEP,Study Skills and Academic WritingEP,GAYDOS MatthewJoseph,GAYDOS Matthew Joseph,E,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,水/Wed.,4,,,F106,030630EC,生産管理論EC,Production ManagementEC,本橋 伊作,MOTOHASHI Isaku,E,3,他学部/Other College,他学部科目Other College Subjects
1Q,水/Wed.,4,,,J203,037142JB,観光学　特殊講義JB,Special Lecture in Tourism and HospitalityJB,久保 隆行 / 楢本 譲司,KUBO Takayuki / NARAMOTO Joji,J,5,専門/Major,APS専門教育科目APS Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects (*2)
Semester,水/Wed.,5,,,J303,03207055,専門演習Ⅱ 55,Major Seminar II 55,山下 博美,YAMASHITA Hiromi,E,5-6,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,水/Wed.,5,,,T.B.A.,03307029,専門演習Ⅱ 29,Major Seminar II 29,鈴木 泰,SUZUKI Yasushi,E/J,5-6,他学部/Other College,他学部科目Other College Subjects
Semester,水/Wed.,6,,,J307,03715515,卒業研究I 15,Graduation Research I15,李 燕,LI Yan,E/J,7,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,水/Wed.,6,,,J308,03715527,卒業研究I 27,Graduation Research I27,清家 久美,SEIKE Kumi,J,7,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,水/Wed.,6,,,J303,03715555,卒業研究I 55,Graduation Research I55,山下 博美,YAMASHITA Hiromi,E,7,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,水/Wed.,6,,,J307,03715615,卒業研究Ⅱ 15,Graduation Research II 15,李 燕,LI Yan,E/J,7,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,水/Wed.,6,,,J308,03715627,卒業研究Ⅱ 27,Graduation Research II 27,清家 久美,SEIKE Kumi,J,7,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,水/Wed.,6,,,J303,03715655,卒業研究Ⅱ 55,Graduation Research II 55,山下 博美,YAMASHITA Hiromi,E,7,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,木/Thu.,1,,,F108,010081DA,日本語初級Ⅰ DA,Japanese Foundation Course I DA,星野 智子,HOSHINO Tomoko,,1,言語/Language,-
Semester,木/Thu.,1,,,F208,010081DB,日本語初級Ⅰ DB,Japanese Foundation Course I DB,栃原 玲子,TOCHIHARA Reiko,,1,言語/Language,-
Semester,木/Thu.,1,,,D201,010081DC,日本語初級Ⅰ DC,Japanese Foundation Course I DC,水戸 貴久,MITO Takahisa,,1,言語/Language,-
Semester,木/Thu.,1,,,D305,010081DD,日本語初級Ⅰ DD,Japanese Foundation Course I DD,寺井 敦子,TERAI Atsuko,,1,言語/Language,-
Semester,木/Thu.,1,,,D203,010081DE,日本語初級Ⅰ DE,Japanese Foundation Course I DE,米 冰寒,MI Binghan,,1,言語/Language,-
Semester,木/Thu.,1,,,F205,010081DF,日本語初級Ⅰ DF,Japanese Foundation Course I DF,高田 亮,TAKADA Ryo,,1,言語/Language,-
Semester,木/Thu.,1,,,F211,010081DG,日本語初級Ⅰ DG,Japanese Foundation Course I DG,高松 知恵美,TAKAMATSU Chiemi,,1,言語/Language,-
Semester,木/Thu.,1,,,FⅡ233,010220OI,韓国語Ⅰ OI,Korean I OI,朴 映勳,PARK YoungHoon,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,木/Thu.,1,,,FⅡ231,010240OA,韓国語Ⅲ OA,Korean III OA,OH Young Min,OH Young Min,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,木/Thu.,1,,,FⅡ329,010260OA,マレー語･インドネシア語Ⅰ OA,Malay/Indonesian I OA,ELVITA Wiasih,ELVITA Wiasih,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,木/Thu.,1,,,FⅡ223,010290OC,スペイン語Ⅰ OC,Spanish I OC,GIMENEZ M. Carolina,GIMENEZ MILAN Carolina,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,木/Thu.,1,,,FⅡ225,010300OC,スペイン語Ⅱ OC,Spanish II OC,VILA LOPEZ Eduardo,VILA LOPEZ Eduardo,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,木/Thu.,1,,,D304,011103EI,英語準中級B EI,Pre-Intermediate English B EI,PRIEST David,PRIEST David,,1,言語/Language,英語English
Semester,木/Thu.,1,,,D302,011103EJ,英語準中級B EJ,Pre-Intermediate English B EJ,眞邉 昌一,MANABE Shoichi,,1,言語/Language,英語English
Semester,木/Thu.,1,,,D204,011103EK,英語準中級B EK,Pre-Intermediate English B EK,JONES Kent,JONES Kent,,1,言語/Language,英語English
Semester,木/Thu.,1,,,D209,011103EL,英語準中級B EL,Pre-Intermediate English B EL,サンダーズ 美里,SAUNDERS Misato,,1,言語/Language,英語English
Semester,木/Thu.,1,,,D301,011103EM,英語準中級B EM,Pre-Intermediate English B EM,HU Cindy Hsin Yu,HU Cindy Hsin Yu,,1,言語/Language,英語English
Semester,木/Thu.,1,,,D108,011103EN,英語準中級B EN,Pre-Intermediate English B EN,廣松 大和,HIROMATSU Yamato,,1,言語/Language,英語English
Semester,木/Thu.,1,,,D303,011103EO,英語準中級B EO,Pre-Intermediate English B EO,MARZONA Nikki,MARZONA Nikki,,1,言語/Language,英語English
Semester,木/Thu.,1,,,D103,011103EP,英語準中級B EP,Pre-Intermediate English B EP,SILVA Matthew Shawn,SILVA Matthew Shawn,,1,言語/Language,英語English
Semester,木/Thu.,1,,,D202,011202EC,英語上級2A EC,Advanced English 2A EC,PADFIELD Sarah,PADFIELD Sarah Catherine,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,木/Thu.,1,,,D212,011202ED,英語上級2A ED,Advanced English 2A ED,USREY Kaylin Rose,USREY Kaylin Rose,,1,言語/Language,言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester,木/Thu.,1,,,IPS 5,027003JH,統計学JH,StatisticsJH,山川 哲史,YAMAKAWA Tetsufumi,J,2,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,木/Thu.,1,,,HPS,027029EP,茶道EP,Japanese Art of Tea CeremonyEP,宗泰 ポンパン,SOTAI Pongpan,E,3,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
Semester,木/Thu.,1,,,F202,030571EB,会計学ⅠEB,Accounting IEB,PARDO Phillip Dean,PARDO Phillip Dean,E,3,他学部/Other College,他学部科目Other College Subjects
Semester,木/Thu.,1,,,J204,037142CC,観光学　特殊講義CC,Special Lecture in Tourism and HospitalityCC,VAFADARI M. Kazem / 四本 幸夫,VAFADARI M. Kazem / YOTSUMOTO Yukio,E/J,5,専門/Major,APS専門教育科目APS Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects (*2)
Semester,木/Thu.,1,,,J307,03715674,卒業研究Ⅱ 74,Graduation Research II 74,松尾 雄司,MATSUO Yuji,J,7,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects 
Semester,木/Thu.,1,,,FⅡ121,037213JC,マーケティング入門JC,Introduction to MarketingJC,亀井 典明,KAMEI Noriaki,J,3,他学部/Other College,他学部科目Other College Subjects
Semester,木/Thu.,1,,,FⅡ220,037214EB,人材と組織行動のマネジメントEB,Management of Human Resources and Organizational BehaviorEB,齊藤 広晃,SAITO Hiroaki,E,3,他学部/Other College,他学部科目Other College Subjects
1Q,木/Thu.,1,,,IPS 4,020091EE,コンピューターリテラシーEE,Computer LiteracyEE,LANKA Rodrigo,LANKA Rodrigo,E,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
1Q,木/Thu.,1,,,F203,021015EB,アジア太平洋の文化と社会EB,Culture and Society of the Asia PacificEB,KIANINEJAD Azra,KIANINEJAD Azra,E,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
1Q,木/Thu.,1,,,IPS 2,027021EG,プログラミングEG,ProgrammingEG,KHAN Muhammad T.,KHAN Muhammad T.,E,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
1Q,木/Thu.,1,,,F102,027030JF,華道JF,Japanese Art of Flower ArrangementJF,藤原 満喜,FUJIWARA Mitsuki,J,3,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
1Q,木/Thu.,1,,,H201,030022EA,ジェンダー研究EA,Gender StudiesEA,井口 由布,IGUCHI Yufu,E,5,専門/Major,APS専門教育科目APS Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects (*4)
1Q,木/Thu.,1,,,IPS 3,030274EA,環境モデリングEA,Environmental Modeling and AnalysisEA,ピシュバ ダバー,PISHVA Davar,E,5,専門/Major,APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects(*1) 
1Q,木/Thu.,1,,,F106,030715JA,監査JA,AuditingJA,YANG Jeongwoo,YANG Jeongwoo,J,5,他学部/Other College,他学部科目Other College Subjects
1Q,木/Thu.,1,,,F204,030750EA,マーケティング・リサーチEA,Marketing ResearchEA,CHEN Shu-Ching,CHEN Shu-Ching,E,3,他学部/Other College,他学部科目Other College Subjects
1Q,木/Thu.,1,,,H101,033029JA,ファミリービジネスJA,Family Business ManagementJA,福山 公博,FUKUYAMA Kimihiro,J,5,他学部/Other College,他学部科目Other College Subjects
1Q,木/Thu.,1,,,J103,037145EA,グローバルメディアと紛争EA,Global Media and ConflictEA,MANTELLO Peter A.,MANTELLO Peter A.,E,5,専門/Major,APS専門教育科目APS Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects (*3)orCSM専門教育科目(*4)CSM Major Education Subjects (*4)
1Q,木/Thu.,1,,,F201,037201JA,ソーシャルアントレプレナーシップJA,Social EntrepreneurshipJA,藤井 誠一,FUJII Seiichi,J,3,他学部/Other College,他学部科目Other College Subjects
1Q,木/Thu.,1,,,J101,037206EB,イノベーション　特殊講義EB,Special Lecture in InnovationEB,牧野 恵美,MAKINO Emi,E,5,他学部/Other College,他学部科目Other College Subjects
1Q,木/Thu.,1,,,F105,037211JA,ビジネスデータ分析JA,Business Data AnalysisJA,佐藤 浩人,SATO Hiroto,J,3,他学部/Other College,他学部科目Other College Subjects
2Q,木/Thu.,1,,,J203,020022JA,政治学入門JA,Introduction to Political ScienceJA,仲井間 健太,NAKAIMA Kenta,J,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
2Q,木/Thu.,1,,,IPS 4,020091EH,コンピューターリテラシーEH,Computer LiteracyEH,NGUYEN Chung Huu,NGUYEN Huu Chung,E,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
2Q,木/Thu.,1,,,F203,021015EA,アジア太平洋の文化と社会EA,Culture and Society of the Asia PacificEA,KIANINEJAD Azra,KIANINEJAD Azra,E,1,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
2Q,木/Thu.,1,,,F102,027030JH,華道JH,Japanese Art of Flower ArrangementJH,藤原 満喜,FUJIWARA Mitsuki,J,3,教養/Liberal Arts,共通教養科目Common Liberal Arts Subjects
2Q,木/Thu.,1,,,H201,030025JA,カルチュラルスタディーズJA,Cultural StudiesJA,井口 由布,IGUCHI Yufu,J,3,専門/Major,APS専門教育科目APS Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects (*4)
2Q,木/Thu.,1,,,F105,030710JA,管理会計論JA,Management AccountingJA,佐藤 浩人,SATO Hiroto,J,5,他学部/Other College,他学部科目Other College Subjects
2Q,木/Thu.,1,,,F201,030721JA,技術経営JA,Technology ManagementJA,藤井 誠一,FUJII Seiichi,J,5,他学部/Other College,他学部科目Other College Subjects
2Q,木/Thu.,1,,,F106,030760EA,消費者行動論EA,Consumer BehaviorEA,李 根煕,LEE Geunhee,E,3,他学部/Other College,他学部科目Other College Subjects
2Q,木/Thu.,1,,,F104,037129JA,国際関係　特殊講義JA,Special Lecture in International Relations and Peace StudiesJA,小栗 寛史,OGURI Hirofumi,J,5,専門/Major,APS専門教育科目APS Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects (*3)
2Q,木/Thu.,1,,,H101,037146EB,エスニシティと国民国家EB,Ethnicity and the Nation StateEB,LE Hoang Anh Thu,LE Hoang Anh Thu,E,5,専門/Major,APS専門教育科目APS Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects (*3)orCSM専門教育科目(*4)CSM Major Education Subjects (*4)
2Q,木/Thu.,1,,,F204,037211EA,ビジネスデータ分析EA,Business Data AnalysisEA,RUIZ-NAVAS Santiago,RUIZ-NAVAS Santiago,E,3,他学部/Other College,他学部科目Other College Subjects
Semester,木/Thu.,2,,,FⅡ123,010081CA,日本語初級Ⅰ CA,Japanese Foundation Course I CA,井筒 琴子,IZUTSU Kotomi,,1,言語/Language,-
Semester,木/Thu.,2,,,F303,010081CB,日本語初級Ⅰ CB,Japanese Foundation Course I CB,上田 優花,UEDA Yuka,,1,言語/Language,-
Semester,木/Thu.,2,,,D213,010081CC,日本語初級Ⅰ CC,Japanese Foundation Course I CC,成 利楽,CHENG Lile,,1,言語/Language,-
Semester,木/Thu.,2,,,F301,010081CD,日本語初級Ⅰ CD,Japanese Foundation Course I CD,小山 いずみ,KOYAMA Izumi,,1,言語/Language,-
Semester,木/Thu.,2,,,D212,010081CE,日本語初級Ⅰ CE,Japanese Foundation Course I CE,井上 佳子,INOUE Yoshiko,,1,言語/Language,-
Semester,木/Thu.,2,,,F207,010081CF,日本語初級Ⅰ CF,Japanese Foundation Course I CF,ジョーダン 光知子,JORDAN Michiko,,1,言語/Language,-
Semester,木/Thu.,2,,,F206,010081CG,日本語初級Ⅰ CG,Japanese Foundation Course I CG,山田 祐也,YAMADA YUYA,,1,言語/Language,-
Semester,木/Thu.,2,,,J308,010101CA,日本語中級 CA,Japanese Intermediate Course CA,大原 哲史,OHARA Tetsushi,,1,言語/Language,-
Semester,木/Thu.,2,,,F304,010101CB,日本語中級 CB,Japanese Intermediate Course CB,布尾 勝一郎,NUNOO Katsuichiro,,1,言語/Language,-
Semester,木/Thu.,2,,,F213,010101CC,日本語中級 CC,Japanese Intermediate Course CC,吉田 真宏,YOSHIDA Masahiro,,1,言語/Language,-
Semester,木/Thu.,2,,,F302,010101CD,日本語中級 CD,Japanese Intermediate Course CD,大池 森,OIKE SHIN,,1,言語/Language,-
Semester,木/Thu.,2,,,D109,010101CE,日本語中級 CE,Japanese Intermediate Course CE,板井 芳江,ITAI Yoshie,,1,言語/Language,-
Semester,木/Thu.,2,,,F212,010101CF,日本語中級 CF,Japanese Intermediate Course CF,多田 利恵,TADA Rie,,1,言語/Language,-
Semester,木/Thu.,2,,,D111,010101CG,日本語中級 CG,Japanese Intermediate Course CG,深山 道助,MIYAMA MICHISUKE,,1,言語/Language,-
Semester,木/Thu.,2,,,F208,010101CH,日本語中級 CH,Japanese Intermediate Course CH,栃原 玲子,TOCHIHARA Reiko,,1,言語/Language,-
Semester,木/Thu.,2,,,F108,010101CI,日本語中級 CI,Japanese Intermediate Course CI,星野 智子,HOSHINO Tomoko,,1,言語/Language,-
Semester,木/Thu.,2,,,F214,010101CJ,日本語中級 CJ,Japanese Intermediate Course CJ,佐々木 美江,SASAKI Mie,,1,言語/Language,-
Semester,木/Thu.,2,,,FⅡ227,010101CK,日本語中級 CK,Japanese Intermediate Course CK,高野 涼子,TAKANO Ryoko,,1,言語/Language,-
Semester,木/Thu.,2,,,D106,010102CA,日本語中上級 CA,Pre-Advanced Japanese CA,伊藤 俊也,ITO Toshinari,,1,言語/Language,-
Semester,木/Thu.,2,,,F205,010102CB,日本語中上級 CB,Pre-Advanced Japanese CB,高田 亮,TAKADA Ryo,,1,言語/Language,-
Semester,木/Thu.,2,,,F211,010102CC,日本語中上級 CC,Pre-Advanced Japanese CC,高松 知恵美,TAKAMATSU Chiemi,,1,言語/Language,-
Semester,木/Thu.,2,,,D201,010103CA,日本語上級 CA,Advanced Japanese CA,板橋 民子,ITABASHI Tamiko,,1,言語/Language,-
Semester,木/Thu.,2,,,FⅡ230,010103CB,日本語上級 CB,Advanced Japanese CB,廣津 公子,HIROTSU Koko,,1,言語/Language,-
